date	reported	nowcast_med	nowcast_lwr	nowcast_upr
2020-09-21	117	395	294	544
2020-09-20	118	324	245	440
2020-09-19	147	315	248	406
2020-09-18	228	370	315	452
2020-09-17	273	388.5	342	459
2020-09-16	325	414	376	467
2020-09-15	352	418	390	462
2020-09-14	411	459	438	492
2020-09-13	331	365	349	389
2020-09-12	311	337	324	356
2020-09-11	329	350	339	366
2020-09-10	336	353	344	368
2020-09-09	393	408	399	421
2020-09-08	415	427	420	439
2020-09-07	386	395	389	405
2020-09-06	329	336	331	345
2020-09-05	308	314	309	321
2020-09-04	362	367	363	375
2020-09-03	342	346	342	353
2020-09-02	362	362	362	362
2020-09-01	367	367	367	367
2020-08-31	314	314	314	314
2020-08-30	255	255	255	255
2020-08-29	232	232	232	232
2020-08-28	286	286	286	286
2020-08-27	289	289	289	289
2020-08-26	337	337	337	337
2020-08-25	328	328	328	328
2020-08-24	336	336	336	336
2020-08-23	326	326	326	326
2020-08-22	291	291	291	291
2020-08-21	275	275	275	275
2020-08-20	278	278	278	278
2020-08-19	271	271	271	271
2020-08-18	308	308	308	308
2020-08-17	325	325	325	325
2020-08-16	290	290	290	290
2020-08-15	254	254	254	254
2020-08-14	243	243	243	243
2020-08-13	258	258	258	258
2020-08-12	249	249	249	249
2020-08-11	252	252	252	252
2020-08-10	257	257	257	257
2020-08-09	196	196	196	196
2020-08-08	178	178	178	178
2020-08-07	168	168	168	168
2020-08-06	138	138	138	138
2020-08-05	155	155	155	155
2020-08-04	162	162	162	162
2020-08-03	155	155	155	155
2020-08-02	126	126	126	126
2020-08-01	127	127	127	127
2020-07-31	113	113	113	113
2020-07-30	143	143	143	143
2020-07-29	115	115	115	115
2020-07-28	97	97	97	97
2020-07-27	110	110	110	110
2020-07-26	91	91	91	91
2020-07-25	120	120	120	120
2020-07-24	115	115	115	115
2020-07-23	101	101	101	101
2020-07-22	119	119	119	119
2020-07-21	100	100	100	100
2020-07-20	115	115	115	115
2020-07-19	96	96	96	96
2020-07-18	98	98	98	98
2020-07-17	95	95	95	95
2020-07-16	88	88	88	88
2020-07-15	97	97	97	97
2020-07-14	91	91	91	91
2020-07-13	95	95	95	95
2020-07-12	74	74	74	74
2020-07-11	87	87	87	87
2020-07-10	81	81	81	81
2020-07-09	80	80	80	80
2020-07-08	78	78	78	78
2020-07-07	74	74	74	74
2020-07-06	63	63	63	63
2020-07-05	70	70	70	70
2020-07-04	57	57	57	57
2020-07-03	79	79	79	79
2020-07-02	65	65	65	65
2020-07-01	72	72	72	72
2020-06-30	78	78	78	78
2020-06-29	90	90	90	90
2020-06-28	65	65	65	65
2020-06-27	70	70	70	70
2020-06-26	72	72	72	72
2020-06-25	64	64	64	64
2020-06-24	69	69	69	69
2020-06-23	48	48	48	48
2020-06-22	69	69	69	69
2020-06-21	58	58	58	58
2020-06-20	74	74	74	74
2020-06-19	56	56	56	56
2020-06-18	44	44	44	44
2020-06-17	42	42	42	42
2020-06-16	48	48	48	48
2020-06-15	48	48	48	48
2020-06-14	45	45	45	45
2020-06-13	34	34	34	34
2020-06-12	41	41	41	41
2020-06-11	29	29	29	29
2020-06-10	45	45	45	45
2020-06-09	43	43	43	43
2020-06-08	54	54	54	54
2020-06-07	40	40	40	40
2020-06-06	46	46	46	46
2020-06-05	42	42	42	42
2020-06-04	56	56	56	56
2020-06-03	45	45	45	45
2020-06-02	46	46	46	46
2020-06-01	40	40	40	40
2020-05-31	35	35	35	35
2020-05-30	48	48	48	48
2020-05-29	46	46	46	46
2020-05-28	65	65	65	65
2020-05-27	71	71	71	71
2020-05-26	73	73	73	73
2020-05-25	71	71	71	71
2020-05-24	57	57	57	57
2020-05-23	82	82	82	82
2020-05-22	73	73	73	73
2020-05-21	89	89	89	89
2020-05-20	97	97	97	97
2020-05-19	98	98	98	98
2020-05-18	118	118	118	118
2020-05-17	78	78	78	78
2020-05-16	112	112	112	112
2020-05-15	110	110	110	110
2020-05-14	113	113	113	113
2020-05-13	128	128	128	128
2020-05-12	122	122	122	122
2020-05-11	144	144	144	144
2020-05-10	139	139	139	139
2020-05-09	138	138	138	138
2020-05-08	142	142	142	142
2020-05-07	144	144	144	144
2020-05-06	153	153	153	153
2020-05-05	181	181	181	181
2020-05-04	164	164	164	164
2020-05-03	146	146	146	146
2020-05-02	145	145	145	145
2020-05-01	172	172	172	172
2020-04-30	188	188	188	188
2020-04-29	173	173	173	173
2020-04-28	196	196	196	196
2020-04-27	224	224	224	224
2020-04-26	207	207	207	207
2020-04-25	236	236	236	236
2020-04-24	239	239	239	239
2020-04-23	329	329	329	329
2020-04-22	303	303	303	303
2020-04-21	297	297	297	297
2020-04-20	368	368	368	368
2020-04-19	302	302	302	302
2020-04-18	376	376	376	376
2020-04-17	401	401	401	401
2020-04-16	445	445	445	445
2020-04-15	478	478	478	478
2020-04-14	509	509	509	509
2020-04-13	484	484	484	484
2020-04-12	506	506	506	506
2020-04-11	585	585	585	585
2020-04-10	624	624	624	624
2020-04-09	746	746	746	746
2020-04-08	711	711	711	711
2020-04-07	771	771	771	771
2020-04-06	850	850	850	850
2020-04-05	766	766	766	766
2020-04-04	797	797	797	797
2020-04-03	970	970	970	970
2020-04-02	1022	1022	1022	1022
2020-04-01	1143	1143	1143	1143
2020-03-31	1024	1024	1024	1024
2020-03-30	1244	1244	1244	1244
2020-03-29	1042	1042	1042	1042
2020-03-28	1136	1136	1136	1136
2020-03-27	1289	1289	1289	1289
2020-03-26	1256	1256	1256	1256
2020-03-25	1419	1419	1419	1419
2020-03-24	1312	1312	1312	1312
2020-03-23	1607	1607	1607	1607
2020-03-22	1231	1231	1231	1231
2020-03-21	1413	1413	1413	1413
2020-03-20	1602	1602	1602	1602
2020-03-19	1391	1391	1391	1391
2020-03-18	1437	1437	1437	1437
2020-03-17	1388	1388	1388	1388
2020-03-16	1521	1521	1521	1521
2020-03-15	1146	1146	1146	1146
2020-03-14	1029	1029	1029	1029
2020-03-13	954	954	954	954
2020-03-12	738	738	738	738
2020-03-11	647	647	647	647
2020-03-10	574	574	574	574
2020-03-09	461	461	461	461
2020-03-08	315	315	315	315
2020-03-07	280	280	280	280
2020-03-06	242	242	242	242
2020-03-05	152	152	152	152
2020-03-04	165	165	165	165
2020-03-03	114	114	114	114
2020-03-02	128	128	128	128
2020-03-01	93	93	93	93
2020-02-29	91	91	91	91
2020-02-28	66	66	66	66
2020-02-27	64	64	64	64
2020-02-26	45	45	45	45
2020-02-25	34	34	34	34
2020-02-24	19	19	19	19
